candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
471266	1490		754843	88.60	1408
471262	1515		2517611	91.10	1448
471256	1548		187838	91.40	1442
471249	1551		4367474	93.20	1427
471238	1426		4437524	88.60	1423
471230	1519		130408	91.20	1452
471226	1491		754843	88.70	1406
471224	1480		806709	95.60	1379
471221	1537		168397	93.70	1506
471216	1524		2772147	91.90	1444
471209	1481		806709	94.70	1377
471206	1535		904322	90.40	1356
471202	1523		4363681	92.60	1396
471197	1507		367523	95.50	1470
471191	1523		4363681	91.80	1396
471188	1533		72076	88.10	1405
471186	1538		639310	89.60	1380
471184	1517		242647	98.40	1455
471159	1423		4314697	44.20	1423
471156	1531		851822	93.40	1430
471144	1558		4313979	88.90	1444
471141	1531		529501	89.60	1385
471139	1532		4393926	88.90	1309
471137	1573		346007	93.30	1434
471130	1522		269248	91.50	1387
471124	1536		126133	95.50	1443
471114	1557		3270001	90.10	1411
471109	1557		3270001	90.20	1411
471106	1524		851865	93.80	1311
471092	1545		158725	93.10	1511
471066	1549		4406763	89.20	1505
471062	1549		4406763	89.00	1505
471056	1371		541581	45.00	1369
471048	1503		851865	98.00	1309
471011	1550		4406763	89.10	1506
471002	1524		561874	90.20	1463
471001	1537		311050	87.00	1456
470997	1537		311050	87.10	1456
470996	1524		561874	90.50	1463
470995	1537		311050	87.00	1456
470993	1548		1802722	89.60	1459
470983	1527		4329132	90.20	1426
470975	1528		4329132	90.20	1426
470974	1528		4329132	90.20	1426
470973	1528		4329132	90.30	1427
470971	1526		1839271	88.50	1448
470970	1527		4329132	92.40	1426
470969	1527		4329132	92.50	1426
470925	1519		130408	90.70	1452
470921	1475		4443068	89.30	1386
470908	1425		571320	64.70	1380
470899	1537		4443068	89.20	1390
470879	1381		661785	60.40	1376
470870	1540		4443068	88.70	1393
470823	1533		851822	89.70	1432
470812	1529		246308	87.20	1440
470807	1532		4393926	88.90	1309
470806	1530		194286	92.10	1391
470805	1521		2901960	90.40	1514
470803	1530		194286	92.10	1391
470761	1530		194286	92.70	1391
470747	1416		13932	86.50	1367
470744	1544		4307887	89.10	1401
470741	1544		4307887	89.10	1401
470740	1544		4307887	89.10	1401
470739	1544		4307887	89.10	1401
470738	1546		4307887	88.80	1403
470737	1544		4307887	89.10	1401
470732	1544		4307887	88.90	1401
470729	1538		4307887	89.30	1401
470724	1544		4307887	89.80	1401
470720	1544		4307887	89.00	1401
470718	1544		4307887	88.60	1401
470697	1542		33696	90.70	1481
470688	1549		4313979	93.80	1436
470687	1548		292203	93.20	1409
470679	1410		4482886	43.30	1404
470670	1561		541581	90.70	1522
470663	1560		4373635	87.00	1436
470662	1567		518033	93.40	1447
470650	1573		346007	93.50	1434
470642	1511		4319168	92.70	1375
470639	1573		346007	93.30	1434
470634	1447		112239	59.00	1447
470623	1564		4373635	88.60	1439
470621	1567		112239	95.10	1381
470605	1570		545371	87.60	1473
470599	1568		545371	87.00	1471
470595	1571		4373635	89.30	1447
470587	1561		541581	90.70	1522
470563	1570		545371	87.60	1473
470546	1561		541581	91.40	1522
470543	1571		4373635	89.30	1447
470534	1571		4373635	89.30	1447
470527	1573		346007	90.00	1434
470524	1560		541581	91.00	1522
470523	1538		4307887	89.80	1401
470494	1502		815790	87.80	1421
470487	1498		815790	87.90	1419
470477	1546		4344832	89.70	1396
470464	1556		258882	92.80	1393
470463	1556		258882	92.80	1393
470462	1557		258882	92.80	1394
470451	1503		4455886	89.00	1340
470441	1501		4455886	92.90	1338
470433	1501		4455886	87.90	1340
470429	1503		4455886	87.90	1340
470416	1369		4471048	43.80	1365
470398	1503		851865	98.40	1309
470397	1503		851865	98.20	1309
470396	1503		851865	98.50	1309
470395	1503		851865	98.20	1309
470394	1503		851865	98.20	1309
470393	1503		851865	98.20	1309
470392	1530		4329132	89.50	1429
470389	1504		183186	93.40	1368
470382	1424		216888	83.10	1410
470381	1538		4382457	92.60	1441
470380	1538		4382457	92.60	1441
470369	1538		530323	94.50	1381
470367	1542		818108	90.60	1404
470324	1540		225897	87.50	1463
470321	1557		4313979	88.70	1443
470292	1557		4313979	88.80	1443
470265	1558		4313979	88.90	1444
470254	1558		4313979	88.90	1444
470251	1558		4313979	88.90	1444
470243	1545		4307887	91.20	1402
470241	1567		4456252	88.40	1428
470238	1527		2842308	95.50	1434
470236	1528		2842308	92.30	1435
470230	1527		2842308	95.30	1434
470229	1300		216888	84.80	1286
470221	1522		4363681	92.30	1391
470219	1522		269248	91.50	1387
470213	1553		4390920	91.00	1400
470207	1525		4363681	91.60	1396
470200	1529		4363681	90.20	1400
470194	1433		4363681	90.20	1399
470188	1522		4363681	94.20	1398
470178	1522		919014	91.80	1340
470173	1514		193432	88.10	1377
470172	1514		193432	88.00	1377
470171	1292		216888	84.00	1278
470170	1487		1839271	86.80	1436
470168	1527		4329132	89.50	1426
470155	1513		2517611	91.90	1447
470148	1513		2517611	92.00	1447
470146	1501		4335376	85.90	1361
470144	1501		4335376	85.90	1361
470143	1501		4335376	85.90	1361
470141	1531		1839271	88.30	1453
470139	1523		4465473	98.60	1391
470117	1525		268693	90.70	1389
470116	1422		851865	88.40	1313
470114	1422		851865	88.40	1313
469991	1529		216888	88.90	1496
469990	1501		207099	92.40	1417
469987	1501		207099	92.30	1417
469972	1532		4329132	88.80	1425
469957	1530		195674	91.50	1392
469949	1528		4329132	88.20	1426
469946	1515		193432	88.50	1378
469941	1289		216888	83.00	1275
469921	1512		106431	97.90	1430
469920	1552		945326	92.80	1375
469918	1310		755474	100.00	1310
469903	1533		627001	87.80	1526
469898	1509		4395397	88.50	1369
469897	1509		4395397	88.60	1369
469893	1511		4319168	93.40	1375
469890	1520		289407	88.10	1382
469888	1530		1839271	89.50	1452
469871	1535		639310	92.90	1374
469861	1530		2088685	94.20	1425
469858	1547		2088685	88.60	1442
469853	1535		2088685	91.50	1430
469852	1532		2088685	89.70	1427
469850	1530		639310	93.30	1373
469849	1530		639310	93.20	1373
469846	1527		183870	92.90	1395
469842	1527		183870	92.80	1395
469835	1527		183870	92.80	1395
469834	1523		3148447	88.80	1433
469832	1527		183870	92.80	1395
469826	1373		367377	91.20	1365
469825	1530		4329132	87.80	1428
469824	1530		4329132	87.90	1428
469818	1529		3148447	90.60	1439
469817	1529		572010	89.40	1490
469816	1529		572010	89.40	1490
469810	1309		851822	85.10	1309
469800	1527		528234	89.40	1394
469778	1531		364903	88.40	1375
469749	1523		572010	89.00	1484
469746	1529		3148447	91.10	1439
469744	1527		3302038	92.50	1446
469742	1487		3302038	91.60	1438
469739	1529		3148447	91.10	1439
469737	1529		3148447	91.10	1439
469734	1524		572010	89.40	1485
469664	1514		319870	86.90	1369
469663	1515		276120	88.10	1436
469662	1520		157382	88.30	1448
469661	1514		319870	86.90	1369
469655	1520		4141532	92.30	1420
469646	1421		259604	84.20	1325
469639	1519		2594571	91.60	1448
469602	1523		4463767	89.60	1358
469488	1543		4403574	90.40	1399
469486	1538		126133	96.20	1444
469482	1551		844103	92.20	1480
469480	1531		4406302	96.60	1380
469479	1531		4406302	96.90	1380
469478	1531		4406302	96.60	1380
462568	1537		79153	86.30	1526
458803	1544		4307887	88.30	1401
454151	1544		4307887	88.30	1401
454104	1483		220160	91.20	1449
440950	1544		4307887	88.20	1401
440936	1544		4307887	88.30	1401
436675	1544		4307887	88.30	1401
431766	1546		509522	87.80	1411
421879	1555		4391715	90.20	1408
416239	1540		368586	90.50	1469
416229	1570		545371	87.60	1473
415094	1551		4406763	88.80	1507
413206	1544		4307887	88.20	1401
407351	1544		4307887	88.30	1401
406487	1534		3843950	94.40	1517
405639	1544		4307887	88.30	1401
402870	1536		126133	96.20	1443
398895	1488		294399	91.00	1477
398854	1486		220160	92.00	1453
398670	1544		4307887	88.30	1401
394740	1542		818108	90.90	1404
393911	1544		4307887	88.20	1401
392116	1541		1625457	88.50	1408
391131	1533		4319691	90.80	1431
385603	1483		220160	91.20	1449
382771	1558		4313979	88.90	1444
382211	1540		661785	89.30	1490
378060	1544		4307887	88.30	1401
376835	1540		368586	90.50	1469
376720	1534		4470884	86.20	1365
375671	1537		818108	92.30	1402
371128	1482		220160	91.20	1449
370432	1545		33696	91.10	1484
370187	1543		818108	92.30	1403
369315	1542		818108	92.30	1402
369055	1544		627001	89.00	1532
368769	1530		503372	92.70	1347
366564	1506		6047	87.30	1375
366414	1532		2088685	90.20	1427
366142	1544		818108	92.40	1404
365543	1543		818108	92.30	1403
365184	1543		4443068	89.30	1391
364930	1544		818108	92.40	1404
364921	1543		818108	92.30	1403
363839	1554		717955	94.70	1373
363476	1523		186877	97.40	1352
362663	1515		4365016	90.70	1379
362631	1539		126133	96.30	1443
362506	1544		818108	92.30	1404
362374	1539		200173	91.00	1531
361962	1536		4373802	93.60	1351
361918	1508		3593364	87.20	1350
361069	1544		818108	92.30	1404
361012	1509		724147	86.40	1418
360010	1544		200173	90.00	1534
359717	1533		3148447	90.60	1439
359026	1544		818108	92.30	1404
358223	1542		818108	92.30	1402
358019	1529		4363681	91.50	1400
356843	1532		2088685	89.80	1427
356835	1537		627001	89.10	1532
356701	1516		4336516	96.40	1334
356687	1532		364903	89.20	1372
356680	1471		140910	88.60	1428
356678	1467		140910	88.60	1426
356677	1528		4363681	95.40	1399
356671	1504		2012005	86.70	1367
356467	1497		581599	95.50	1460
355966	1529		4393546	93.20	1497
355323	1539		247490	97.20	1438
352664	1559		4457067	93.50	1402
350896	1535		200173	89.50	1526
350167	1533		4319519	99.30	1530
350050	1542		661785	92.50	1492
349837	1534		4319519	96.40	1531
349804	1507		4354577	95.10	1412
349112	1532		4319519	96.70	1529
348968	1544		818108	91.60	1404
348855	1573		112239	95.10	1381
348633	1528		317765	90.00	1486
348202	1533		657046	91.60	1390
348109	1485		220160	90.50	1445
348006	1529		4329132	90.20	1428
347789	1545		4307887	88.30	1401
347528	1553		119231	91.60	1425
347501	1489		39737	86.90	1451
347487	1503		581599	88.90	1460
347009	1490		348433	90.50	1447
346429	1538		770503	97.60	1415
346026	1544		818108	92.30	1404
345429	1523		4476462	87.60	1376
345249	1527		3148447	88.80	1433
344813	1503		581599	90.50	1460
344373	1533		4319519	99.20	1530
343857	1532		514547	94.40	1373
343158	1503		581599	88.60	1460
343072	1544		571320	92.80	1408
343062	1532		514547	94.40	1373
342971	1492		516285	91.90	1350
342865	1524		101847	88.40	1480
342627	1547		516809	94.20	1405
341353	1517		4377373	95.80	1469
341294	1508		3593364	87.10	1350
341050	1517		4377373	95.80	1469
340638	1561		4391715	89.70	1409
339877	1535		657046	92.10	1388
339584	1542		818108	92.10	1402
339443	1506		6047	87.30	1375
338978	1543		818108	92.60	1403
337418	1560		4457067	94.40	1403
335683	1440		89604	87.60	1366
335393	1573		518033	93.40	1447
335145	1544		818108	91.70	1404
333765	1518		4377851	93.00	1380
333699	1485		220160	90.60	1445
333514	1447		1750495	90.10	1387
333163	1533		4319519	99.20	1530
331312	1533		4319519	99.20	1530
330638	1544		818108	92.50	1404
330405	1508		3593364	87.10	1350
330295	1533		4319519	99.20	1530
327510	1530		2088685	94.20	1425
326977	1536		639310	92.90	1377
325855	1530		2088685	94.20	1425
325328	1517		4377373	95.70	1469
322703	1534		749805	97.30	1441
322522	1544		818108	90.60	1404
321100	1418		2214214	86.00	1415
320868	1532		2342680	85.20	1495
319524	1550		661785	93.90	1500
318253	1543		4455875	91.60	1468
317681	1544		818108	91.40	1404
317543	1517		4377373	95.80	1469
317180	1544		818108	92.40	1404
317108	1525		79153	86.90	1513
316248	1530		735032	87.50	1463
315575	1532		514547	94.40	1373
314879	1546		158725	89.50	1513
314123	1533		4319519	99.20	1530
313166	1527		528234	88.60	1390
312745	1552		455130	92.90	1360
312701	1544		818108	92.10	1404
311337	1534		4319519	96.70	1531
311137	1553		254183	98.30	1428
308095	1536		4406763	91.00	1492
307772	1533		4319519	99.20	1530
305892	1544		818108	91.30	1404
305267	1545		158725	88.90	1512
304981	1500		808267	86.00	1374
304455	1517		4377373	95.70	1469
303807	1531		4319519	99.30	1528
303756	1561		150587	90.40	1518
303702	1546		806148	96.80	1451
303616	1530		317765	90.00	1486
302952	1489		220160	91.30	1449
302284	1547		516809	91.40	1405
301787	1537		770082	84.80	1473
301131	1506		2888513	94.20	1442
300050	1535		749805	91.80	1440
297358	1542		818108	91.40	1402
295454	1524		518530	85.20	1425
293763	1535		749805	91.60	1440
293753	1534		749805	97.40	1441
293340	1548		2707164	99.80	1547
292898	1536		4393926	90.40	1310
292137	1502		581599	92.00	1459
291728	1544		818108	91.30	1404
290517	1489		220160	91.30	1449
289858	1517		4377373	95.70	1469
289675	1518		4336516	95.00	1336
289369	1489		294399	91.50	1477
289250	1527		242647	96.50	1455
287392	1544		818108	91.30	1404
287314	1507		234298	98.70	1307
285017	1540		749805	95.80	1441
284476	1540		749805	95.80	1441
284102	1530		317765	90.00	1486
283463	1535		749805	91.80	1440
283204	1544		818108	90.30	1404
281799	1533		201979	91.80	1491
281762	1517		4377373	95.70	1469
281552	1518		4336516	95.10	1336
281438	1535		749805	91.80	1440
279975	1534		4319519	96.90	1531
278595	1508		552696	92.60	1367
278384	1545		509522	89.00	1405
276377	1361		202319	61.60	1357
276224	1424		4336516	95.40	1335
274319	1507		4354577	95.10	1412
273412	1349		202319	61.70	1346
271358	1529		818108	91.30	1404
271098	1516		4377373	95.70	1469
271095	1544		818108	92.60	1404
271092	1489		754843	89.10	1406
271043	1553		4367474	93.20	1426
270963	1544		818108	91.40	1404
270905	1495		4443068	89.30	1389
270882	1504		183186	93.50	1368
270856	1521		4377373	95.70	1473
270757	1517		610967	93.60	1508
270740	1517		309030	92.00	1372
270705	1546		4313979	97.10	1433
270584	1535		2842308	95.30	1434
270537	1554		4367474	93.10	1427
270437	1535		749805	91.60	1440
270365	1490		352389	92.30	1443
270356	1554		4367474	93.10	1427
270257	1545		509522	88.90	1405
270217	1533		4319519	99.20	1530
270210	1545		509522	88.80	1405
270056	1516		2517611	91.70	1447
270055	1543		4455875	91.50	1468
270037	1420		367377	92.30	1383
270000	1544		818108	91.30	1404
269887	1517		309030	92.00	1372
269869	1544		571320	92.80	1408
269863	1544		818108	90.70	1404
269855	1504		183186	93.40	1368
269854	1544		818108	90.80	1404
269840	1535		4323733	91.40	1403
269837	1550		4406763	89.10	1506
269830	1507		4354577	95.10	1412
269786	1543		4455875	91.60	1468
269758	1554		4367474	93.20	1427
269749	1374		222706	87.70	1365
269695	1544		818108	92.10	1404
269684	1517		4336516	95.50	1335
269612	1543		818108	92.40	1404
269516	1433		347529	88.30	1410
269431	1554		4367474	93.10	1427
269369	1467		212126	88.90	1386
269293	1521		4377373	95.60	1473
269252	1544		818108	91.30	1404
269225	1554		4367474	93.30	1427
269194	1517		4377373	95.70	1469
269050	1535		749805	92.00	1440
269026	1550		4367474	92.90	1423
269004	1543		818108	92.40	1404
268771	1535		749805	92.10	1440
268740	1542		818108	91.10	1402
268718	1349		4304452	60.50	1346
268527	1546		4313979	96.80	1433
268265	1552		4367474	92.90	1425
268249	1409		202319	60.50	1406
268225	1554		4367474	93.20	1427
268223	1554		4367474	93.10	1427
268170	1543		4455875	91.50	1468
268120	1551		4367474	93.00	1423
268048	1543		509522	88.90	1403
268016	1517		4377373	95.70	1469
268011	1533		4319519	99.90	1530
267981	1517		309030	91.80	1372
267975	1554		4367474	93.10	1427
267967	1517		309030	92.10	1372
267954	1544		818108	91.30	1404
267934	1545		200173	89.00	1535
267902	1545		200173	90.20	1535
267868	1554		4367474	93.10	1427
267816	1519		4336516	95.70	1337
267787	1544		818108	91.30	1404
267652	1543		4455875	91.50	1468
267636	1553		4367474	93.30	1426
267551	1535		749805	91.60	1440
267550	1517		309030	92.20	1372
267533	1533		4319519	99.20	1530
267530	1517		610967	93.50	1508
267446	1517		4377373	95.70	1469
267239	1553		4367474	93.50	1426
267218	1519		4336516	95.30	1337
267203	1545		509522	88.90	1405
267197	1534		749805	92.00	1439
267171	1554		4367474	93.10	1427
267164	1554		4367474	93.20	1427
267139	1507		207099	92.10	1417
267062	1528		317765	90.40	1484
266998	1521		1839271	89.90	1438
266867	1543		818108	92.60	1404
266674	1545		509522	88.80	1405
266665	1517		309030	92.10	1372
266646	1500		808267	86.10	1374
266643	1517		309030	92.10	1372
266481	1427		91649	88.40	1417
266386	1542		818108	91.20	1402
266310	1533		749805	91.40	1440
266271	1457		4423599	88.60	1420
266241	1517		309030	92.10	1372
266240	1554		4367474	93.30	1427
266191	1501		818108	91.30	1404
266174	1516		2517611	91.60	1447
266124	1517		309030	92.10	1372
266105	1516		2517611	91.80	1447
265952	1504		183186	93.40	1368
265816	1519		4336516	95.50	1337
265766	1545		509522	88.70	1405
265649	1533		4319519	99.20	1530
265603	1516		2517611	91.70	1447
265577	1544		818108	91.30	1404
265511	1516		2517611	91.70	1447
265440	1517		4377373	95.70	1469
265407	1546		158725	90.30	1512
265258	1531		818108	91.30	1404
265247	1554		4367474	93.20	1427
264779	1535		749805	92.10	1440
264769	1374		222706	87.70	1365
264723	1487		760005	93.20	1408
264616	1554		4367474	93.30	1427
264531	1545		509522	88.70	1405
264529	1388		222706	87.90	1379
264435	1544		4419449	94.00	1446
264395	1544		818108	90.20	1404
264317	1544		818108	92.60	1404
264227	1517		309030	92.10	1372
264222	1517		610967	93.50	1508
264203	1554		4367474	93.40	1426
264153	1517		4377373	95.70	1469
263990	1535		749805	92.10	1440
263931	1554		4367474	93.30	1427
263912	1517		309030	92.10	1372
263911	1520		157382	88.30	1448
263847	1544		818108	91.40	1404
263800	1544		818108	92.40	1404
263725	1517		309030	92.00	1372
263693	1517		610967	93.50	1508
263689	1554		4367474	92.90	1427
263619	1535		749805	92.10	1440
263564	1538		200173	93.10	1529
263541	1554		4367474	93.20	1427
263529	1554		4367474	93.30	1427
263525	1540		661785	88.30	1487
263445	1517		610967	93.50	1508
263411	1517		309030	92.10	1372
263364	1424		4336516	95.40	1335
263283	1554		4367474	93.30	1427
263239	1555		4367474	93.20	1427
263230	1543		818108	92.60	1403
263218	1517		610967	93.50	1508
263216	1511		818108	91.30	1404
263029	1517		309030	92.10	1372
263024	1554		4367474	93.20	1427
263021	1544		818108	92.30	1405
262998	1517		309030	92.10	1372
262922	1517		309030	92.10	1372
262885	1517		309030	92.10	1372
262867	1518		610967	93.70	1509
262815	1515		309030	92.10	1372
262739	1551		346007	93.20	1434
262630	1517		309030	92.20	1372
262620	1544		818108	91.10	1404
262610	1523		1839271	90.00	1438
262592	1517		4336516	95.50	1335
262590	1517		309030	91.80	1372
262493	1320		170060	85.60	1320
262492	1505		207099	92.30	1417
262373	1516		2517611	91.80	1447
262319	1531		367377	92.30	1382
262217	1560		202319	88.40	1549
262191	1537		818108	91.30	1403
262185	1545		509522	88.80	1405
262154	1544		818108	91.30	1404
262038	1517		4377373	95.70	1469
262033	1554		4367474	93.20	1427
261995	1535		749805	92.10	1440
261973	1516		2517611	91.70	1447
261962	1543		818108	91.30	1403
261946	1545		509522	88.80	1405
261921	1551		4367474	93.20	1427
261912	1535		2842308	95.30	1434
261885	1544		818108	91.30	1404
261842	1553		4367474	93.40	1426
261827	1544		818108	91.30	1404
261722	1517		309030	92.00	1372
261719	1554		4367474	93.20	1427
261703	1507		4354577	95.10	1412
261676	1514		610967	93.30	1507
261566	1545		509522	88.80	1405
261560	1545		4419449	94.30	1446
261458	1544		818108	91.40	1404
